iter	RMSE
419	234.0446079
420	233.773689
421	233.4896373
422	233.1926254
423	232.9549184
424	232.6329976
425	232.314724
426	232.0568921
427	231.7084228
428	231.3966657
429	231.1192777
430	230.8637357
431	230.5254706
432	230.2478656
433	229.8559098
434	229.6179342
435	229.2665403
436	228.8863127
437	228.6278912
438	228.4433393
439	228.176178
440	227.9286245
441	227.6041455
442	227.2836935
443	226.9826199
444	226.5392344
445	226.2887554
446	226.047539
447	225.8153649
448	225.4160376
449	225.1025811
450	224.9903471
451	224.7166371
452	224.4214664
453	224.2257357
454	224.0069411
455	223.722628
456	223.5145551
457	223.2145278
458	223.000506
459	222.7909995
460	222.5466445
461	222.3872191
462	222.0981993
463	221.9212358
464	221.691321
465	221.2895325
466	221.0265705
467	220.7707655
468	220.5082168
469	220.2711536
470	219.9857412
471	219.7395587
472	219.4208364
473	219.1259338
474	218.8339017
475	218.6263631
476	218.3891757
477	218.012744
478	217.7695018
479	217.5260817
480	217.2340212
481	216.9368793
482	216.720042
483	216.4633207
484	216.2302402
485	216.0026928
486	215.7196744
487	215.4578829
488	215.0928782
489	214.8548293
490	214.5970027
491	214.352887
492	214.0617699
493	213.843117
494	213.5476444
495	213.2704302
496	213.110158
497	212.8540664
498	212.5763309
499	212.4351083
500	212.1917147
501	211.8781272
502	211.5429409
503	211.2454159
504	210.9188898
505	210.7529804
506	210.5197029
507	210.3139824
508	210.0618044
509	209.8414371
510	209.5731448
511	209.3493025
512	209.1091446
513	208.8812481
514	208.5967726
515	208.4425202
516	208.1728706
517	207.9514033
518	207.8144384
519	207.6225632
520	207.3780375
521	207.1594629
522	206.9548707
523	206.7984265
524	206.57092
525	206.3553513
526	206.0665371
527	205.8468781
528	205.5917482
529	205.3471687
530	205.1251534
531	204.7741505
532	204.5264058
533	204.3622334
534	204.1128094
535	203.9661337
536	203.7515778
537	203.6170554
538	203.4966864
539	203.216095
540	202.9842631
541	202.7861573
542	202.629196
543	202.3541459
544	202.0608082
545	201.7926832
546	201.5983123
547	201.417934
548	201.2100674
549	201.0518212
550	200.7688309
551	200.5463157
552	200.3180314
553	199.9389057
554	199.8050898
555	199.5195697
556	199.2553788
557	199.0503362
558	198.8302126
559	198.655636
560	198.451489
561	198.1785048
562	197.961794
563	197.8000645
564	197.6125916
565	197.4410712
566	197.2278038
567	197.1046603
568	197.0335794
569	196.8349563
570	196.6819348
571	196.5458295
572	196.415639
573	196.2076605
574	196.0275048
575	195.8077097
576	195.5309082
577	195.4764984
578	195.3008764
579	195.2275103
580	194.9922553
581	194.789574
582	194.6044065
583	194.427471
584	194.2991917
585	194.1068917
586	193.8191393
587	193.6972084
588	193.516045
589	193.3715255
590	193.1220751
591	192.9228544
592	192.7761302
593	192.5543201
594	192.396946
595	192.1631283
596	191.9611116
597	191.7726019
598	191.6157185
599	191.4929691
600	191.2614214
601	191.0861645
602	190.9195256
603	190.8104222
604	190.7001534
605	190.5449651
606	190.2423993
607	189.9337415
608	189.7488124
609	189.413643
610	189.2572286
611	189.0807421
612	188.9960508
613	188.7582454
614	188.5526675
615	188.3667112
616	188.2236329
617	188.0233895
618	187.849378
619	187.65117
620	187.3749142
621	187.0365316
622	186.8215823
623	186.6832722
624	186.5197719
625	186.4465337
626	186.2543583
627	185.9816769
628	185.716362
629	185.5516757
630	185.369625
631	185.2173768
632	185.0706653
633	185.0025544
634	184.8373667
635	184.7845556
636	184.5810816
637	184.4136916
638	184.1784249
639	184.0512299
640	183.9388053
641	183.8526047
642	183.6365804
643	183.3852323
644	183.2513357
645	183.1173951
646	182.9450657
647	182.8789751
648	182.6488801
649	182.5641865
650	182.4949042
651	182.2168181
652	182.0743247
653	181.9423373
654	181.7553409
655	181.5969933
656	181.4599554
657	181.2668304
658	181.0472288
659	180.7854313
660	180.5810114
661	180.4325078
662	180.2780193
663	180.1024489
664	179.950072
665	179.7903793
666	179.6876512
667	179.4147024
668	179.0975291
669	178.9807238
670	178.7586908
671	178.5894376
672	178.2273695
673	178.0107563
674	177.8709599
675	177.7297731
676	177.5734264
677	177.3890025
678	177.1123692
679	177.0135572
680	176.8437559
681	176.7803911
682	176.6951288
683	176.4595078
684	176.3994381
685	176.2298724
686	176.007612
687	175.79322
688	175.7251326
689	175.5594321
690	175.2982665
691	175.0465115
692	174.9414233
693	174.87916
694	174.8263191
695	174.6834545
696	174.5365852
697	174.3430742
698	174.2006803
699	174.1337742
700	173.9776769
701	173.8615359
702	173.7203688
703	173.5182319
704	173.4314621
705	173.2690321
706	173.1390993
707	172.9578779
708	172.7706923
709	172.5859231
710	172.441362
711	172.3007322
712	172.0596622
713	171.9245998
714	171.7012068
715	171.6345564
716	171.48924
717	171.4333318
718	171.2970092
719	171.1177395
720	171.0522351
721	170.9417384
722	170.8254292
723	170.5120419
724	170.3926405
725	170.241316
726	170.1810761
727	169.9897968
728	169.7918419
729	169.6837488
730	169.6368353
731	169.4862665
732	169.4141728
733	169.3543506
734	169.2720853
735	169.1607741
736	169.1016365
737	169.0465911
738	168.8954776
739	168.5730986
740	168.5147446
741	168.3983177
742	168.2313575
743	168.176559
744	168.0529636
745	167.9822921
746	167.9069522
747	167.7845269
748	167.6944083
749	167.5535091
750	167.4447412
751	167.383983
752	167.1870833
753	167.0845099
754	166.9661564
755	166.8477604
756	166.7520532
757	166.7039629
758	166.6412074
759	166.5498559
760	166.3529311
761	166.1373905
762	165.9122376
763	165.8207036
764	165.7621504
765	165.542262
766	165.4208007
767	165.2656083
768	165.1453274
769	164.9474667
770	164.8001916
771	164.6838268
772	164.6280764
773	164.5751314
774	164.4876467
775	164.3341503
776	164.186756
777	164.0391407
778	163.9656994
779	163.8770192
780	163.7185536
781	163.6257091
782	163.577293
783	163.4902256
784	163.4363124
785	163.3343314
786	163.2232188
787	163.1015702
788	162.9885955
789	162.8980561
790	162.7264786
791	162.6590015
792	162.4658278
793	162.3507397
794	162.0508179
795	161.9841606
796	161.8039723
797	161.7564765
798	161.7008352
799	161.5698428
800	161.4714235
801	161.419415
802	161.3640828
803	161.312489
804	161.2518674
805	161.1525771
806	160.9890637
807	160.8572194
808	160.8062822
809	160.7555476
810	160.7050149
811	160.6546834
812	160.5813782
813	160.4235794
814	160.3249348
815	160.2750785
816	160.1795654
817	160.0679961
818	160.0184914
819	159.9009199
820	159.7478268
821	159.6639976
822	159.6117271
823	159.5074511
824	159.4255922
825	159.3483501
826	159.233493
827	159.1813404
828	159.0674097
829	158.8947897
830	158.7791492
831	158.6554748
832	158.6036451
833	158.5556462
834	158.5078389
